text,labels_text
"you may terminate your account at any time , for any reason , by following the instructions in `` settings '' in the service , however you will need to manage your in app purchases through your mobile device platform ( e.g. , itunes , google play ) . 
",Other
"tinder may terminate your account at any time without notice if it believes that you have violated this agreement . 
",Unilateral termination
"upon such termination , you will not be entitled to any refund for purchases . 
",Other
"after your account is terminated , this agreement will terminate , except that the following provisions will still apply to you and tinder : section 5 , section 6 , and sections 13 through 20 . 
",Other
"safety ; your interactions with other users . 
",Other
"though tinder strives to encourage a respectful user experience through features like the double opt-in that only allows users to communicate if they have both indicated interest in one another , it is not responsible for the conduct of any user on or off of the services . 
",Limitation of liability
"you agree to use caution in all interactions with other users , particularly if you decide to communicate off the service or meet in person . 
",Other
"in addition , you agree to review and follow tinder 's safety tips , located on gotinder.com , prior to using the service . 
",Other
"you should not provide your financial information ( for example , your credit card or bank account information ) , or wire or otherwise send money , to other users . 
",Other
"you are solely responsible for your interactions with other users . 
",Other
"you understand that tinder does not conduct criminal background checks on its users or otherwise inquire into the background of its users . 
",Other
"tinder makes no representations or warranties as to the conduct of users . 
",Other
"tinder reserves the right to conduct any criminal background check or other screenings ( such as sex offender register searches ) at any time using available public records . 
",Other
"tinder grants you a personal , worldwide , royalty-free , non-assignable , nonexclusive , revocable , and non-sublicensable license to access and use the services . 
",Other
"this license is for the sole purpose of letting you use and enjoy the services ' benefits as intended by tinder and permitted by this agreement . 
",Other
"therefore , you agree not to : 
",Other
"use the service or any content contained in the service for any commercial purposes without our written consent . 
",Other
"copy , modify , transmit , create any derivative works from , make use of , or reproduce in any way any copyrighted material , images , trademarks , trade names , service marks , or other intellectual property , content or proprietary information accessible through the service without tinder 's prior written consent . 
",Other
"express or imply that any statements you make are endorsed by tinder . 
",Other
"use any robot , bot , spider , crawler , scraper , site search/retrieval application , proxy or other manual or automatic device , method or process to access , retrieve , index , `` data mine , '' or in any way reproduce or circumvent the navigational structure or presentation of the service or its contents . 
",Other
"use the services in any way that could interfere with , disrupt or negatively affect the service or the servers or networks connected to the service . 
",Other
"upload viruses or other malicious code or otherwise compromise the security of the services . 
",Other
"forge headers or otherwise manipulate identifiers in order to disguise the origin of any information transmitted to or through the service . 
",Other
"`` frame '' or `` mirror '' any part of the service without tinder 's prior written authorization . 
",Other
"use meta tags or code or other devices containing any reference to tinder or the service ( or any trademark , trade name , service mark , logo or slogan of tinder ) to direct any person to any other website for any purpose . 
",Other
"modify , adapt , sublicense , translate , sell , reverse engineer , decipher , decompile or otherwise disassemble any portion of the service , or cause others to do so . 
",Other
"use or develop any third-party applications that interact with the services or other users ' content or information without our written consent . 
",Other
"use , access , or publish the tinder application programming interface without our written consent . 
",Other
"probe , scan or test the vulnerability of our services or any system or network . 
",Other
"encourage or promote any activity that violates this agreement . 
",Other
"the company may investigate and take any available legal action in response to illegal and / or unauthorized uses of the service , including termination of your account . 
",Unilateral termination
"any software that we provide you may automatically download and install upgrades , updates , or other new features . 
",Other
"you may be able to adjust these automatic downloads through your device 's settings . 
",Other
"by creating an account , you grant to tinder a worldwide , transferable , sub-licensable , royalty-free , right and license to host , store , use , copy , display , reproduce , adapt , edit , publish , modify and distribute information you authorize us to access from facebook , as well as any information you post , upload , display or otherwise make available ( collectively , `` post '' ) on the service or transmit to other users ( collectively , `` content '' ) . 
",Other
"our license to your content is subject to your rights under applicable law ( for example laws regarding personal data protection to the extent any content contains personal information as defined by those laws ) and is for the limited purpose of operating , developing , providing , and improving the service and researching and developing new ones . 
",Other
"you agree that any content you place or that you authorize us to place on the service may be viewed by other users and may be viewed by any person visiting or participating in the service ( such as individuals who may receive shared content from other tinder users ) . 
",Other
"you agree that all information that you submit upon creation of your account , including information submitted from your facebook account , is accurate and truthful and you have the right to post the content on the service and grant the license to tinder above . 
",Other
"you understand and agree that we may monitor or review any content you post as part of a service . 
",Other
"we may delete any content , in whole or in part , that in our sole judgment violates this agreement or may harm the reputation of the service . 
",Content removal
"when communicating with our customer care representatives , you agree to be respectful and kind . 
",Other
"if we feel that your behavior towards any of our customer care representatives or other employees is at any time threatening or offensive , we reserve the right to immediately terminate your account . 
",Unilateral termination
"in consideration for tinder allowing you to use the services , you agree that we , our affiliates , and our third-party partners may place advertising on the services . 
",Other
"by submitting suggestions or feedback to tinder regarding our services , you agree that tinder may use and share such feedback for any purpose without compensating you . 
",Other
"you agree that tinder may access , preserve and disclose your account information and content if required to do so by law or in a good faith belief that such access , preservation or disclosure is reasonably necessary , such as to : ( i ) comply with legal process ; ( ii ) enforce this agreement ; ( iii ) respond to claims that any content violates the rights of third parties ; ( iv ) respond to your requests for customer service ; or ( v ) protect the rights , property or personal safety of the company or any other person . 
",Other
"by using the services , you agree that you will not : 
",Other
"use the service for any purpose that is illegal or prohibited by this agreement . 
",Other
"spam , solicit money from or defraud any users . 
",Other
"impersonate any person or entity or post any images of another person without his or her permission . 
",Other
"bully , `` stalk , '' intimidate , harass or defame any person . 
",Other
"post any content that violates or infringes anyone 's rights , including rights of publicity , privacy , copyright , trademark or other intellectual property or contract right . 
",Other
"post any content that is hate speech , threatening , sexually explicit or pornographic ; incites violence ; or contains nudity or graphic or gratuitous violence . 
",Other
"post any content that promotes racism , bigotry , hatred or physical harm of any kind against any group or individual . 
",Other
"solicit passwords for any purpose , or personal identifying information for commercial or unlawful purposes from other users or disseminate another person 's personal information without his or her permission . 
",Other
"use another user 's account . 
",Other
"create another account if we have already terminated your account , unless you have our permission . 
",Other
"tinder reserves the right to investigate and / or terminate your account without a refund of any purchases if you have misused the service or behaved in a way that tinder regards as inappropriate or unlawful , including actions or communications that occur off the service but involve users you meet through the service . 
",Unilateral termination
"although tinder reserves the right to review and remove content that violates this agreement , such content is the sole responsibility of the user who posts it , and tinder can not guarantee that all content will comply with this agreement . 
","Content removal, Limitation of liability"
"if you see content on the services that violates this agreement , please report it within the services or via help@gotinder.com . 
",Other
"from time to time , tinder may offer products and services for purchase ( `` in app purchases '' ) through itunes , google play or other application platforms authorized by tinder ( each , a `` software store '' ) . 
",Other
"if you choose to make an in app purchase , you will be prompted to enter details for your account with your software store ( `` your iap account '' ) , and your iap account will be charged for the in app purchase in accordance with the terms disclosed to you at the time of purchase as well as the general terms for in app purchases that apply to your iap account . 
",Other
"some software stores may charge you sales tax , depending on where you live . 
",Other
"if you purchase an auto-recurring periodic subscription through an in app purchase , your iap account will be billed continuously for the subscription until you cancel . 
",Other
"after your initial subscription commitment period , and again after any subsequent subscription period , your subscription will automatically continue for an additional equivalent period , at the price you agreed to when subscribing . 
",Other
"if you do not wish your subscription to renew automatically , or if you want to change or terminate your subscription , you will need to log in to your iap account and follow instructions to cancel your subscription , even if you have otherwise deleted your account with us or if you have deleted the tinder application from your device . 
",Other
"deleting your account on tinder or deleting the tinder application from your device does not cancel your subscription ; tinder will retain all funds charged to your iap account until you cancel your subscription through your iap account . 
",Other
"if you choose to make a purchase through tinder online , you agree to pay tinder all charges at the prices displayed to you for the services you 've selected as well as any sales or similar taxes that may be imposed on your payments , and you authorize tinder to charge your chosen payment provider ( your `` payment method '' ) . 
",Other
"tinder may correct any billing errors or mistakes that it makes even if it has already requested or received payment . 
",Other
"if you initiate a chargeback or otherwise reverse a payment made with your payment method , tinder may terminate your account immediately in its sole discretion . 
",Unilateral termination
"if you purchase a subscription through tinder online , your subscription will continue indefinitely until cancelled by you . 
",Other
"after your initial subscription commitment period , and again after any subsequent subscription period , your subscription will automatically continue for an additional equivalent period , at the price you agreed to when subscribing , until you cancel . 
",Other
"you agree that your account will be subject to this automatic renewal feature . 
",Other
"if you do not wish your account to renew automatically , or if you want to change or terminate your subscription , please log in and go to `` my profile '' on tinder online and follow the instructions . 
",Other
"if you cancel your subscription , you may use your subscription until the end of your then-current subscription term , and your subscription will not be renewed after your then-current term expires . 
",Other
"you may edit your payment method information by visiting tinder online and going to `` my profile . '' 
",Other
"if a payment is not successfully settled , due to expiration , insufficient funds , or otherwise , and you do not edit your payment method information or cancel your subscription , you remain responsible for any uncollected amounts and authorize us to continue billing the payment method , as it may be updated . 
",Other
"this may result in a change to your payment billing dates . 
",Other
"in addition , you authorize us to obtain updated or replacement expiration dates and card numbers for your credit or debit card as provided by your credit or debit card issuer . 
",Other
"the terms of your payment will be based on your payment method and may be determined by agreements between you and the financial institution , credit card issuer or other provider of your chosen payment method . 
",Other
"if you reside outside of the americas , you agree that your payment to tinder will be through mtch technology services limited . 
",Other
"super likes and other virtual items . 
",Other
"from time to time , you may be able to purchase , with `` real world '' money , a limited , personal , non-transferable , non-sublicensable , revocable license to use `` virtual items , '' including but not limited to super likes ( collectively , `` virtual items '' ) . 
",Other
"you are only allowed to purchase virtual items from us or our authorized partners through the service and not in any other way . 
",Other
"virtual items represent a limited license right governed by this agreement . 
",Other
"except as otherwise prohibited by applicable law , virtual items obtained by you are licensed to you , and you acknowledge that no title or ownership in or to virtual items is being transferred or assigned to you . 
",Other
"this agreement should not be construed as a sale of any rights in virtual items . 
",Other
"any virtual item balance shown in your account does not constitute a real-world balance or reflect any stored value , but instead constitutes a measurement of the extent of your license . 
",Other
"virtual items do not incur fees for non-use , however , the license granted to you in virtual items will terminate in accordance with the terms of this agreement , when tinder ceases providing the service or your account is otherwise closed or terminated . 
",Content removal
"tinder , in its sole discretion , reserves the right to charge fees for the right to access or use virtual items and / or may distribute virtual items with or without charge . 
",Unilateral change
"tinder may manage , regulate , control , modify or eliminate virtual items at any time . 
",Unilateral change
"tinder shall have no liability to you or any third party in the event that tinder exercises any such rights . 
",Limitation of liability
"the transfer of virtual items is prohibited , and you shall not sell , redeem or otherwise transfer virtual items to any person or entity . 
",Other
"virtual items may only be redeemed through the service . 
",Other
"all purchases and redemptions of virtual items made through the service are final and non-refundable . 
",Other
"the provision of virtual items for use in the service is a service provided by tinder that commences immediately upon the acceptance of your purchase of such virtual items . 
",Contract by using
"you acknowledge that tinder is not required to provide a refund for any reason , and that you will not receive money or other compensation for unused virtual items when an account is closed , whether such closure was voluntary or involuntary . 
",Limitation of liability
"generally , all charges for purchases are nonrefundable , and there are no refunds or credits for partially used periods . 
",Other
"we may make an exception if a refund for a subscription offering is requested within fourteen days of the transaction date , or if the laws applicable in your jurisdiction provide for refunds . 
",Other
"for subscribers residing in the eu or european economic area , in accordance with local law , you are entitled to a full refund during the 14 days after the subscription begins . 
",Other
"please note that this 14-day period commences when the subscription starts . 
",Other
"for tinder plus subscribers residing in arizona , california , connecticut , illinois , iowa , minnesota , new york , north carolina , ohio and wisconsin , the terms below apply : 
",Other
"you may cancel your subscription , without penalty or obligation , at any time prior to midnight of the third business day following the date you subscribed . 
",Other
"in the event that you die before the end of your subscription period , your estate shall be entitled to a refund of that portion of any payment you had made for your subscription which is allocable to the period after your death . 
",Other
"in the event that you become disabled ( such that you are unable to use the services of tinder ) before the end of your subscription period , you shall be entitled to a refund of that portion of any payment you had made for your subscription which is allocable to the period after your disability by providing the company notice in the same manner as you request a refund as described below . 
",Other
"purchases of virtual items are final and non-refundable . 
",Other
"if you subscribed using your apple id , refunds are handled by apple , not tinder . 
",Other
"to request a refund , go to itunes , click on your apple id , select `` purchase history , '' find the transaction and hit `` report problem '' . 
",Other
"you can also submit a request at https://getsupport.apple.com . 
",Other
"if you subscribed using your google play store account or through tinder online : please contact customer support with your order number for the google play store ( you can find the order number in the order confirmation email or by logging in to google wallet ) or tinder online ( you can find this on your confirmation email ) . 
",Other
"you may also mail or deliver a signed and dated notice which states that you , the buyer , are canceling this agreement , or words of similar effect . 
",Other
"please also include the email address or telephone number associated with your account along with your order number . 
",Other
"this notice shall be sent to : tinder , attn : cancellations , p.o. box 25472 , dallas , texas 75225 , usa ( in addition , ohio users may send a facsimile to 214-853-4309 ) . 
",Other
"notice and procedure for making claims of copyright infringement . 
",Other
"if you believe that your work has been copied and posted on the service in a way that constitutes copyright infringement , please provide our copyright agent with the following information : 
",Other
"an electronic or physical signature of the person authorized to act on behalf of the owner of the copyright interest ; 
",Other
"a description of the copyrighted work that you claim has been infringed ; 
",Other
"a description of where the material that you claim is infringing is located on the service ( and such description must be reasonably sufficient to enable us to find the alleged infringing material ) ; 
",Other
"your contact information , including address , telephone number and email address ; 
",Other
"a written statement by you that you have a good faith belief that the disputed use is not authorized by the copyright owner , its agent , or the law ; and 
",Other
"a statement by you , made under penalty of perjury , that the above information in your notice is accurate and that you are the copyright owner or authorized to act on the copyright owner 's behalf . 
",Other
"notice of claims of copyright infringement should be provided to the company 's copyright agent via email to copyright@match.com , by phone to 214-576-3272 or via mail to the following address : 
",Other
"copyright compliance department c/o match group legal 8750 n. central expressway , suite 1400 dallas , texas 75231 
",Other
"tinder will terminate the accounts of repeat infringers . 
",Other
"tinder provides the service on an `` as is '' and `` as available '' basis and to the extent permitted by applicable law , grants no warranties of any kind , whether express , implied , statutory or otherwise with respect to the service ( including all content contained therein ) , including , without limitation , any implied warranties of satisfactory quality , merchantability , fitness for a particular purpose or non-infringement . 
",Other
"tinder does not represent or warrant that ( a ) the service will be uninterrupted , secure or error free , ( b ) any defects or errors in the service will be corrected , or ( c ) that any content or information you obtain on or through the services will be accurate . 
",Limitation of liability
"tinder takes no responsibility for any content that you or another user or third party posts , sends or receives through the services . 
",Limitation of liability
"any material downloaded or otherwise obtained through the use of the service is accessed at your own discretion and risk . 
",Other
"the service may contain advertisements and promotions offered by third parties and links to other web sites or resources . 
",Other
"tinder is not responsible for the availability ( or lack of availability ) of such external websites or resources . 
",Other
"if you choose to interact with the third parties made available through our service , such party 's terms will govern their relationship with you . 
",Other
"tinder is not responsible or liable for such third parties ' terms or actions . 
",Limitation of liability
"to the fullest extent permitted by applicable law , in no event will tinder , its affiliates , employees , licensors or service providers be liable for any indirect , consequential , exemplary , incidental , special or punitive damages , including , without limitation , loss of profits , whether incurred directly or indirectly , or any loss of data , use , goodwill , or other intangible losses , resulting from : ( i ) your access to or use of or inability to access or use the services , ( ii ) the conduct or content of other users or third parties on , through , or following use of the services ; or ( iii ) unauthorized access , use or alteration of your content , even if tinder has been advised of the possibility of such damages . 
",Limitation of liability
"in no event will tinder 's aggregate liability to you for all claims relating to the service exceed the amount paid , if any , by you to tinder for the service while you have an account . 
",Limitation of liability
"some jurisdictions do not allow the exclusion or limitation of certain damages , so some or all of the exclusions and limitations in this section may not apply to you . 
",Other
"arbitration , class-action waiver , and jury waiver . 
",Other
"except for users residing within the eu or european economic area and elsewhere where prohibited by applicable law : 
",Other
"the exclusive means of resolving any dispute or claim arising out of or relating to this agreement ( including any alleged breach thereof ) or the service shall be binding arbitration administered by the american arbitration association under the consumer arbitration rules . 
",Arbitration
"the one exception to the exclusivity of arbitration is that you have the right to bring an individual claim against the company in a small-claims court of competent jurisdiction . 
",Other
"but whether you choose arbitration or small-claims court , you may not under any circumstances commence or maintain against the company any class action , class arbitration , or other representative action or proceeding . 
",Other
"by using the service in any manner , you agree to the above arbitration agreement . 
",Contract by using
"in doing so , you give up your right to go to court to assert or defend any claims between you and the company ( except for matters that may be taken to small-claims court ) . 
",Other
"you also give up your right to participate in a class action or other class proceeding . 
",Other
"your rights will be determined by a neutral arbitrator , not a judge or jury , and the arbitrator shall determine all issues regarding the arbitrability of the dispute . 
",Other
"you are entitled to a fair hearing before the arbitrator . 
",Other
"the arbitrator can grant any relief that a court can , but you should note that arbitration proceedings are usually simpler and more streamlined than trials and other judicial proceedings . 
",Other
"decisions by the arbitrator are enforceable in court and may be overturned by a court only for very limited reasons . 
",Other
"for details on the arbitration process , see our arbitration procedures . 
",Other
"any proceeding to enforce this arbitration agreement , including any proceeding to confirm , modify , or vacate an arbitration award , may be commenced in any court of competent jurisdiction . 
",Other
"in the event that this arbitration agreement is for any reason held to be unenforceable , any litigation against the company ( except for small-claims court actions ) may be commenced only in the federal or state courts located in dallas county , texas . 
",Jurisdiction
"you hereby irrevocably consent to the jurisdiction of those courts for such purposes . 
",Other
"this agreement , and any dispute between you and the company , shall be governed by the laws of the state of texas without regard to principles of conflicts of law , provided that this arbitration agreement shall be governed by the federal arbitration act . 
",Choice of law
"the online dispute settlement platform of the european commission is available under http://ec.europa.eu/odr . 
",Other
"tinder does not take part in dispute settlement procedures in front of a consumer arbitration entity for users residing in the eu or european economic area . 
",Other
"for users residing in the eu or european economic area or elsewhere where our arbitration agreement is prohibited by law , the laws of texas , u.s.a. , excluding texas 's conflict of laws rules , will apply to any disputes arising out of or relating to this agreement or the services . 
",Choice of law
"for the avoidance of doubt , the choice of texas governing law shall not supersede any mandatory consumer protection legislation in such jurisdictions . 
",Other
"except for users residing in the eu or european economic area , who may bring claims in their country of residence in accordance with applicable law , all claims arising out of or relating to this agreement or the services will be litigated exclusively in the federal or state courts of dallas county , texas , u.s.a. , and you and tinder consent to personal jurisdiction in those courts . 
",Other
"you agree , to the extent permitted under applicable law , to indemnify , defend and hold harmless tinder , our affiliates , and their and our respective officers , directors , agents , and employees from and against any and all complaints , demands , claims , damages , losses , costs , liabilities and expenses , including attorney 's fees , due to , arising out of , or relating in any way to your access to or use of the services , your content , or your breach of this agreement . 
",Other
"this agreement , with the privacy policy , the safety tips and any terms disclosed and agreed to by you if you purchase additional features , products or services we offer on the service , contains the entire agreement between you and tinder regarding the use of the service . 
",Other
"if any provision of this agreement is held invalid , the remainder of this agreement shall continue in full force and effect . 
",Other
"the failure of the company to exercise or enforce any right or provision of this agreement shall not constitute a waiver of such right or provision . 
",Other
"you agree that your tinder account is non-transferable and all of your rights to your account and its content terminate upon your death . 
",Other
"no agency , partnership , joint venture or employment is created as a result of this agreement and you may not make any representations or bind tinder in any manner . 
",Other
"when you ( `` you '' ) sign up with betterpoints.uk you agree to all of the terms and conditions of this agreement ( `` agreement '' ) . 
",Contract by using
"please read the following terms and conditions carefully , as they form the agreement between us ( `` us '' ) . 
",Other
"if you do not agree to these terms and conditions , you may not use the service ( `` service '' ) and should not proceed to register . 
",Other
"this agreement constitutes your agreement with betterpoints limited ( `` betterpoints.uk '' ) with respect to your use of the service ( `` service '' ) . 
",Other
"you must agree to abide by all of the terms and conditions contained in this agreement in order to become or remain an authorized user of the service . 
",Other
"as used in this agreement , `` we '' and `` us '' means betterpoints.uk or any successor or assign of betterpoints.uk . 
",Other
"your right to use the service is subject to any limitations , conditions and restrictions established by us from time to time , in our sole discretion . 
",Unilateral termination
"we may alter , suspend or discontinue any aspect of the service at any time , including the availability of any service feature , database or content . 
","Unilateral change, Unilateral termination"
"we may also impose limits on certain features and aspects of the service or restrict your access to parts or all of the service without notice or liability . 
","Unilateral change, Unilateral termination"
"you represent , warrant and covenant that you are at least 14 years old . 
",Other
"you agree to use the service in accordance with the following code of conduct : 
",Other
"you will keep all information provided to you through the service as private and confidential and will not give such information to anyone without the permission of the person who provided it to you ; 
",Other
"you will not use the service to engage in any form of harassment or offensive behaviour , including but not limited to the posting of communications , pictures or recordings which contain libelous , slanderous , abusive or defamatory statements , or racist , pornographic , obscene , or offensive language ; 
",Other
"you will not forward chain letters through the service ; 
",Other
"you will not use the service to infringe the privacy rights , property rights , or any other rights of any person , business or organisation ; 
",Other
"you will not transfer points and / or money , post messages , pictures or recordings or use the service in any way which 
",Other
"is fraudulent or otherwise unlawful or violates any law 
",Other
"violates , plagiarises or infringes upon the rights of any third party , including but not limited to any copyright or trade-mark law , privacy or other personal or proprietary rights , or 
",Other
"could be considered to be pornographic or in ` bad taste ' 
",Other
"you will not use the service to distribute , promote or otherwise publish any material containing any solicitation for funds ( which has not been formally approved by betterpoints.uk ) , advertising or solicitation for goods or services . 
",Other
"you will not use the service to distribute or upload any virus , trojan horses or do anything else that might cause harm to the service , betterpoints.uk systems or to other members ' systems in any way . 
",Other
"you will not post or transmit in any manner any contact information including , but not limited to , email addresses , `` instant messenger '' nicknames , telephone numbers , postal addresses , urls , or full names through your publicly posted information . 
",Other
"you will not mention or promote any services similar in nature to betterpoints.uk . 
",Other
"you will maintain only one betterpoints account . 
",Other
"earning betterpoints under multiple accounts is strictly forbidden and will result in having one , several or all accounts terminated . 
",Other
"any transactions you make with any betterpoints.uk members are explicitly between you and those members . 
",Other
"betterpoints.uk accepts no liability whatsoever for the redemption and cost of any fraudulent and / or counterfeit vouchers or coupons . 
",Other
"this is the full responsibility of the merchant and not betterpoints.uk . 
",Other
"all transactions are electronically logged and reported back by a betterpoints partner . 
",Other
"betterpoints.uk makes every effort to ensure that partners are correctly reporting transactions however we can not be held responsible should the partners ' systems fail to report back your transaction . 
",Other
"each offer is governed by individual terms and conditions . 
",Other
"please check with the betterpoints partner concerned for full details . 
",Other
"betterpoints.uk reserves the right to remove or amend any offer at any time without notice . 
",Other
"members agree to receive regular electronic newsletters , occasionally supplemented by other special offer mailings . 
",Other
"if your account is seen to be dormant ( showing no transactions ) for 18 months or more , we reserve the right to terminate your account . 
",Unilateral termination
"we expressly exclude , to the fullest extent permitted by law , all liability of betterpoints.uk , its directors , employees or other representatives , howsoever arising , for any loss suffered as a result of your use of this website or involvement in any way with betterpoints.uk . 
",Limitation of liability
"you acknowledge that use of the service or involvement in any way with betterpoints.uk is entirely at your own risk . 
",Other
"betterpoints.uk is also not responsible or liable for any reputational goodwill damage or loss to you through being associated with betterpoints.uk by being a member , partner , merchant or any other involvement with betterpoints.uk . 
",Limitation of liability
"by accessing the services you have also agreed to our privacy policy statement . 
",Other
"you acknowledge that ( a ) we can not ensure the security or privacy of information you provide through the internet and your email messages , and you release us from any and all liability in connection with the use of such information by other parties ; ( b ) we are not responsible for , and can not control , the use by others of any information which you provide to them and you should use caution in selecting the personal information you provide to others through the service ; and ( c ) we can not assume any responsibility for the content of messages sent by other users of the service , and you release us from any and all liability in connection with the contents of any communications you may receive from other users . 
",Other
"we can not guarantee , and assume no responsibility for verifying , the accuracy of the information provided by other users of the service . 
",Other
"you may not use the service for any unlawful or immoral purposes . 
",Other
"you may not harvest or otherwise collect information about users , including email addresses , without their express consent . 
",Other
"in accessing the website you agree that you will access the content solely for your personal , non-commercial use . 
",Other
"none of the content may be downloaded , copied , reproduced , transmitted , stored , sold or distributed without the prior written consent of the copyright holder . 
",Other
"this excludes the downloading , copying and/or printing of pages of the website for personal , non-commercial home use only . 
",Other
"we reserve the right to monitor all advertisements , public postings and messages to ensure that they conform to the content guidelines which may be applicable from time to time . 
",Other
"while we do not and can not review every message or other material posted or sent by users of the service , and are not responsible for any content of these messages or materials , we reserve the right , but are not obligated , to delete , move , or edit messages or materials , including without limitation property profiles , public postings and messages , that we , in our sole discretion , deem to violate the code of conduct set out above or any applicable content guidelines , or to be otherwise unacceptable . 
",Content removal
"you shall remain solely responsible for the content of property profiles , public postings , messages and other materials you may upload to the service or users of the service . 
",Other
"we may , in our sole discretion , terminate or suspend your access to all or part of the service at any time , with or without notice , for any reason , including , without limitation , breach of this agreement . 
",Unilateral termination
"without limiting the generality of the foregoing , any fraudulent , abusive , or otherwise illegal activity , or that may otherwise affect the enjoyment of the service or the internet by others may be grounds for termination of your access to all or part of the service at our sole discretion , and you may be referred to appropriate law enforcement agencies . 
",Unilateral termination
"any reward value in your account will be immediately forfeited . 
",Other
"the service contains information which is proprietary to us our partners , and our users . 
",Other
"we assert full copyright protection in the service . 
",Other
"information posted by us , our partners or users of the service may be protected whether or not it is identified as proprietary to us or to them . 
",Other
"you agree not to modify , copy or distribute any such information in any manner whatsoever without having first received the express permission of the owner of such information . 
",Other
"all copyright , trade marks and all other intellectual property rights in the website and its content ( including without limitation the website design , text , graphics and all software and source codes connected with the website ) are owned by or licensed to betterpoints.uk or otherwise used by betterpoints.uk as permitted by law . 
",Other
"you acknowledge that we are not responsible for suspension of the service , regardless of the cause of the interruption or suspension . 
",Limitation of liability
"we may discontinue or change the service or its availability to you at any time and you may stop using the service at any time . 
","Unilateral change, Unilateral termination"
