index,true_labels,predicted_labels,model_output
157,[],['Content removal'],"“To ensure the continuation of our service and to uphold our obligations to our users, we will take reasonable steps to protect your content and data. This includes, but is not limited to, monitoring and analyzing content, and implementing measures to detect and prevent misuse.” 
Label: “Content removal”"
158,[],['Arbitration'],Arbitration
159,[],['Arbitration'],Arbitration
160,['Jurisdiction'],['Jurisdiction'],Jurisdiction
161,[],['Arbitration'],Arbitration
162,[],[],“Other”
163,[],[],“Other”
164,[],[],“Other”
165,[],['Arbitration'],Arbitration
166,[],['Arbitration'],“Arbitration”
167,[],[],“Other”
168,[],['Arbitration'],“Federal arbitration act
169,[],['Arbitration'],Arbitration
170,[],[],“Other”
171,[],['Arbitration'],“Arbitration”
172,[],['Arbitration'],Arbitration
173,[],['Arbitration'],Arbitration
174,[],[],“Other
175,[],[],“Other”
176,[],['Arbitration'],Arbitration
177,[],['Arbitration'],Arbitration
178,[],[],“Other”
179,[],['Arbitration'],“Arbitration”
180,[],['Limitation of liability'],“Limitation of liability
181,[],['Arbitration'],“Arbitration”
182,[],[],“Other”
183,[],[],“Other”
184,[],['Limitation of liability'],“Limitation of liability”
185,[],[],“Other
186,[],['Arbitration'],Arbitration
187,[],['Arbitration'],“Arbitration
188,[],[],“Other”
189,[],['Arbitration'],Arbitration
190,[],['Limitation of liability'],“Limitation of liability”
191,[],[],“Other”
192,[],[],“Other”
193,[],[],“Other”
194,[],[],“Other”
195,[],[],“We offer a free trial period for the amazon services.”
196,['Contract by using'],[],“Other”
197,[],[],“Other”
198,[],[],“Other”
199,[],[],“Other”
200,[],[],“Other”
201,[],[],“Other”
202,[],[],“Other”
203,[],[],Other
204,[],['Contract by using'],“Contract by using”
205,[],['Contract by using'],“Contract by using”
206,[],[],Other
207,[],[],“Other”
208,[],[],“Trademark”
209,[],[],“Other”
210,[],[],“Patent”
211,[],[],“Other”
212,[],[],Other
213,[],[],“Other”
214,[],[],“Other”
215,[],[],“Other”
216,[],[],“Other”
217,[],[],“Other”
218,[],[],“Other”
219,[],[],“Other”
220,[],['Unilateral change'],“Unilateral change”
221,['Unilateral termination'],['Unilateral termination'],“Unilateral termination
222,[],[],“Other”
223,[],[],“Other”
224,[],[],Other
225,[],['Unilateral change'],“Unilateral change”
226,[],[],Other
227,[],[],“Other”
228,"['Content removal', 'Unilateral termination']",['Arbitration'],Arbitration
229,[],[],“Other”
230,[],[],Other
231,[],[],“Other”
232,['Content removal'],['Content removal'],“Content removal”
233,[],[],“Other”
234,[],[],“Other”
235,[],[],“Other”
236,['Content removal'],['Content removal'],“Content removal
237,['Limitation of liability'],[],“Other”
238,[],[],Other
239,[],['Content removal'],“Content removal”
240,[],[],“Other”
241,[],[],Other
242,[],[],Other
243,[],[],“Refund”
244,[],['Unilateral change'],“Unilateral change”
245,[],[],“Other”
246,[],[],Other
247,[],[],“Other”
248,[],['Unilateral change'],“Unilateral change”
249,[],[],Other
250,[],[],“Other”
251,[],[],“Other”
252,[],[],“Other”
253,[],[],“Other”
254,[],[],“Other”
255,[],[],“Other”
256,[],[],“Other”
257,[],[],“Other”
258,[],[],Other
259,[],[],Other
260,[],[],“Sanctions”
261,[],[],“Export and re-export restrictions”
262,[],[],“Other”
263,[],[],“Other”
264,[],[],“Other”
265,[],[],“Other”
266,[],[],“Other”
267,[],[],“Disclaimers
268,[],[],“Other”
269,[],[],“Other”
270,[],[],“Other”
271,[],[],“Other”
272,[],[],“Other”
273,['Limitation of liability'],['Limitation of liability'],“Limitation of liability”
274,['Arbitration'],['Arbitration'],Arbitration
275,[],[],“Other”
276,[],['Arbitration'],“Arbitration”
277,[],['Arbitration'],Arbitration
278,[],['Arbitration'],Arbitration
279,[],['Arbitration'],“Arbitration”
280,[],[],“Other”
281,[],[],“Other”
282,[],['Limitation of liability'],“Limitation of liability”
283,[],[],“Other”
284,[],['Arbitration'],“Arbitration”
285,[],[],“Other”
286,[],['Arbitration'],“Arbitration”
287,[],[],“Other”
288,"['Choice of law', 'Contract by using']",['Contract by using'],“Contract by using
289,[],[],“Other”
290,[],[],“Other”
291,[],[],“Other”
292,['Unilateral change'],['Unilateral change'],“Unilateral change”
293,[],[],“Other”
294,[],[],“Other”
295,[],[],“Other”
296,[],[],“Other”
297,[],[],“Other”
298,[],[],“Copyright”
299,[],[],“Other”
300,[],[],“Other”
301,[],[],“Other”
302,[],[],“Other”
303,[],[],“Other”
304,[],['Arbitration'],Arbitration
305,[],[],“Other”
306,[],['Jurisdiction'],Jurisdiction
307,[],['Arbitration'],Arbitration
308,[],[],“Other”
309,[],[],Other
310,[],[],Other
311,[],[],“Other”
312,[],[],Other
313,[],[],Other
314,[],[],“Other”
315,[],[],“Other”
316,[],[],"“your name, email address, and contact details.”
Label: “Other”"
317,[],[],“Other”
318,[],[],“Other”
319,[],[],“Other”
320,[],[],Other
321,[],[],“Other”
322,[],[],“Other”
323,[],[],“www.amazon.com/support@copyright.com”
324,[],[],“Other”
325,[],[],“Other”
326,[],['Contract by using'],“Contract by using”
327,[],[],“Other”
328,[],[],“Other”
329,[],[],“Other”
330,[],[],“Other”
331,[],['Limitation of liability'],“Limitation of liability”
332,[],[],“Other”
333,[],[],“Other”
334,[],[],“Other”
335,[],[],“Other”
336,['Unilateral termination'],[],“Revocation of free trial
337,[],[],“Other”
338,[],[],“Other”
339,[],[],“Other”
340,[],[],“Other”
341,[],[],“Other”
342,[],[],“Other”
343,[],[],Other
344,[],[],“Other”
345,[],['Arbitration'],Arbitration
346,[],['Limitation of liability'],“Limitation of liability”
347,[],[],“Other”
348,[],[],“Other”
349,[],[],“Other”
350,[],[],Other
351,[],['Unilateral termination'],“Unilateral termination”
352,[],['Limitation of liability'],“Limitation of liability”
353,[],[],“Cancellation”
354,[],['Limitation of liability'],“Limitation of liability”
355,[],['Limitation of liability'],“Limitation of liability”
356,[],['Unilateral termination'],“Unilateral termination”
357,[],[],“Other”
358,[],[],“Change of price and service plans”
359,['Unilateral change'],[],“Other”
360,[],[],“Other”
361,[],[],“Other”
362,[],[],“Other”
363,[],[],“Other”
364,[],[],“Other”
365,[],[],“Other”
366,[],[],“Other”
367,[],[],“Other”
368,[],[],“Other”
369,['Unilateral change'],[],“Other”
370,[],[],"""Other"""
371,[],[],“Other”
372,[],[],“Other”
373,[],[],“Other”
374,[],[],“Other”
375,[],['Contract by using'],“Contract by using”
376,[],[],“Other”
377,[],['Arbitration'],Arbitration
378,[],['Arbitration'],Arbitration
379,['Unilateral termination'],['Arbitration'],Arbitration
380,[],[],“Other”
381,[],[],Other
382,[],[],“Other”
383,[],[],Other
384,[],[],Other
385,[],[],“Other”
386,[],[],“Other”
387,[],[],Other
388,[],[],Other
389,[],[],“Other”
390,[],[],“Other”
391,[],[],“Other”
392,[],[],“Other”
393,[],[],“Other”
394,[],[],“Other”
395,[],[],“Other”
396,[],[],“Other”
397,[],[],“Other”
398,['Choice of law'],['Contract by using'],“Contract by using”
399,[],[],“Other”
400,[],[],“Other”
401,[],[],“Other”
402,[],[],“Other”
403,[],[],“Other”
404,[],[],“Other”
405,[],[],“Other”
406,[],[],“Other”
407,['Unilateral change'],[],“Other”
408,[],[],“Other”
409,[],[],“Other”
410,[],[],“Other”
411,[],[],Other
412,[],[],“Other”
413,[],[],“Other”
414,[],[],“Other”
415,[],[],“Other”
416,[],[],“Other”
417,[],['Contract by using'],“Contract by using
418,[],[],Other
419,['Contract by using'],[],“Other”
420,[],['Unilateral termination'],“Unilateral termination”
421,[],[],“Other”
422,[],[],“Other”
423,[],['Arbitration'],“Arbitration”
424,[],[],“Other”
425,[],[],“Other”
426,[],[],Other
427,[],[],Other
428,[],['Contract by using'],“Contract by using”
429,[],[],“Other”
430,[],['Contract by using'],“Contract by using”
431,[],[],“Other”
432,[],[],“Other”
433,[],[],“Other”
434,[],[],“Other”
435,[],[],“Other”
436,[],[],“Other”
437,[],[],“Other”
438,[],['Unilateral termination'],“Unilateral termination”
439,[],[],“Other”
440,[],[],“Other”
441,[],[],“Other”
442,[],['Arbitration'],Arbitration
443,[],[],“Other”
444,[],[],“Other”
445,[],[],“Other”
446,[],['Content removal'],“Content removal
447,[],['Arbitration'],Arbitration
448,[],[],“Other”
449,['Content removal'],['Content removal'],“Content removal
450,[],[],“Other”
451,[],[],“Other”
452,[],[],“Other”
453,[],[],“Other”
454,[],[],Other
455,[],[],“Other”
456,[],[],“Other”
457,[],[],“Other”
458,[],['Unilateral change'],“Unilateral change”
459,[],[],Other
460,[],[],“Other”
461,[],[],“Other”
462,[],[],Other
463,[],[],“Other
464,['Contract by using'],['Contract by using'],“Contract by using“
465,[],[],Other
466,[],[],“violate these terms.”
467,[],[],“Other”
468,[],[],Other
469,[],[],Other
470,[],['Unilateral change'],“Unilateral change”
471,[],[],"“access, modify, or use the content.”"
472,[],[],“Other”
473,[],[],Other
474,[],['Unilateral change'],“Unilateral change”
475,[],[],“Other”
476,[],[],Other
477,[],['Arbitration'],Arbitration
478,['Unilateral termination'],['Content removal'],“Content removal
479,[],[],“Other”
480,[],[],“Other”
481,[],[],Other
482,[],[],"“first be sent to the copyright agent within 24 hours of filing.”
"
483,[],['Unilateral termination'],“Unilateral termination”
484,[],[],Other
485,[],['Content removal'],“Content removal
486,[],[],Other
487,[],[],“Other”
488,[],[],“Other”
489,[],[],Other
490,[],[],Other
491,[],[],Other
492,[],[],Other
493,[],[],“Other”
494,[],['Arbitration'],Arbitration
495,[],[],“Other”
496,[],[],Other
497,[],[],“Other”
498,[],[],Other
499,[],['Content removal'],“Content removal
500,[],['Content removal'],“Content removal”
501,[],['Arbitration'],Arbitration
502,[],['Content removal'],“Content removal”
503,[],[],“Other”
504,[],[],“Other”
505,[],[],Other
506,[],[],Other
507,[],[],Other
508,[],[],“Other”
509,[],[],Other
510,[],[],Other
511,[],[],"“we may access, review, screen, and delete your content at any time and for any reason , including if we think your content violates these terms.”"
512,[],[],“Other”
513,[],[],“Other”
514,[],[],“Other”
515,[],[],Other
516,[],[],“Other”
517,[],['Arbitration'],Arbitration
518,[],[],“Other”
519,[],[],“Other”
520,[],[],“Other”
521,[],[],“Other”
522,[],[],“Other”
523,[],[],Other
524,[],[],Other
525,[],[],Other
526,[],[],Other
527,[],[],Other
528,"['Content removal', 'Unilateral termination']",[],“Other”
529,[],[],Other
530,[],[],“Other”
531,['Unilateral change'],[],“Other”
532,[],[],“Other”
533,[],[],“Other”
534,[],[],“Other”
535,[],[],“Other”
536,[],[],“Other”
537,[],[],“Other”
538,[],[],“Other”
539,[],[],“Other”
540,[],[],“Other”
541,"['Unilateral change', 'Unilateral termination']",[],“Other”
542,['Unilateral change'],[],“Other”
543,[],['Unilateral termination'],“Unilateral termination”
544,['Unilateral termination'],['Arbitration'],Arbitration
545,[],[],Other
546,['Unilateral termination'],['Limitation of liability'],“Limitation of liability”
547,['Unilateral termination'],[],“Other”
548,[],[],“Other”
549,[],['Arbitration'],Arbitration
550,[],[],Other
551,[],[],Other
552,[],[],“Other”
553,[],[],“Other”
554,['Limitation of liability'],[],“Other”
555,[],['Content removal'],“Content removal
556,['Limitation of liability'],['Arbitration'],Arbitration
557,['Limitation of liability'],['Limitation of liability'],“Limitation of liability”
558,[],[],“Other”
559,[],[],Other
560,[],[],Other
561,[],[],“Other”
562,[],['Arbitration'],Arbitration
563,[],['Arbitration'],Arbitration
564,[],['Unilateral termination'],“Unilateral termination”
565,['Jurisdiction'],['Arbitration'],Arbitration
566,['Jurisdiction'],['Arbitration'],Arbitration
567,['Choice of law'],['Choice of law'],“Choice of law
568,[],['Choice of law'],“Choice of law
569,[],[],“Other”
570,[],[],“Other”
571,[],[],“Other”
572,[],[],“Other”
573,[],[],“Other”
574,[],['Contract by using'],“Contract by using”
575,[],[],“Other”
576,[],[],“Other”
577,[],[],Other
578,[],[],“Other”
579,[],[],Other
580,[],[],“Other”
581,['Contract by using'],[],Other
582,[],[],“Other”
583,[],[],“Other”
584,[],[],“Other”
585,['Contract by using'],['Contract by using'],“Contract by using”
586,[],[],“Other”
587,[],[],Other
588,[],[],“Other”
589,[],[],“Other”
590,[],['Content removal'],“Content removal”
591,[],[],“Other”
592,[],['Content removal'],“Content removal”
593,[],[],“Other”
594,['Content removal'],['Arbitration'],Arbitration
595,[],[],“Other”
596,[],['Content removal'],“Content removal
597,[],[],Other
598,[],[],“Other”
599,[],[],“Other”
600,[],[],“Other”
601,[],['Unilateral change'],“Unilateral change”
602,[],[],“Other”
603,[],[],“Other”
604,[],[],“Other”
605,[],[],“Other”
606,[],[],“Other”
607,[],[],“Other”
608,[],[],“Other”
609,[],[],“Other”
610,['Unilateral change'],[],“Other”
611,['Unilateral termination'],['Unilateral termination'],“Unilateral termination”
612,['Unilateral change'],[],“Other”
613,"['Content removal', 'Limitation of liability']",['Arbitration'],Arbitration
614,['Unilateral change'],[],“Other”
615,['Unilateral termination'],[],“Other”
616,['Unilateral change'],[],“Other”
617,"['Content removal', 'Limitation of liability']",['Arbitration'],Arbitration
618,[],[],Other
619,[],[],“Other”
620,[],[],“Other”
621,[],[],“Other”
622,[],[],“Other”
623,[],[],“Other”
624,[],['Limitation of liability'],“Limitation of liability”
625,[],[],“Other”
626,[],[],“Other”
627,[],[],“Other”
628,[],[],“Other”
629,[],['Limitation of liability'],“Limitation of liability”
630,[],[],“Other”
631,[],[],“Other”
632,[],[],“Other”
633,[],[],“Other”
634,[],['Contract by using'],“Contract by using”
635,[],[],“Other”
636,[],[],“Other”
637,[],[],“Other”
638,['Unilateral termination'],['Arbitration'],Arbitration
639,[],[],“Other”
640,[],[],“Other”
641,[],[],“Other”
642,[],[],“Other”
643,[],[],“Other”
644,[],[],“Other”
645,[],[],“Other”
646,[],[],“Other
647,[],[],“Other”
648,['Limitation of liability'],['Arbitration'],Arbitration
649,['Limitation of liability'],[],“Other”
650,[],[],“Other”
651,['Unilateral change'],[],“Other”
652,['Unilateral change'],[],“Other”
653,['Unilateral change'],[],“Other”
654,['Contract by using'],[],“Other”
655,[],[],“Other”
656,[],[],Other
657,[],[],“Other”
658,[],[],“Other”
659,[],[],“Other”
660,[],[],“Other”
661,[],[],Other
662,[],[],“Other”
663,[],[],“Other”
664,[],[],“Other”
665,[],[],“Other”
666,['Contract by using'],[],“Other”
667,[],[],“Other”
668,['Contract by using'],[],“Other”
669,[],['Unilateral termination'],“Unilateral termination”
670,[],[],“Other”
671,[],['Arbitration'],Arbitration
672,[],[],“Other”
673,[],[],Other
674,[],[],“Other”
675,[],['Contract by using'],“Contract by using”
676,[],['Contract by using'],“Contract by using”
677,[],[],“Other”
678,[],[],“Other”
679,['Unilateral change'],[],“Other”
680,[],[],“Other”
681,[],[],“Other”
682,['Contract by using'],[],“Other”
683,[],[],Other
684,[],[],“Other”
685,[],[],“Other”
686,[],[],“Other”
687,[],[],“Other”
688,[],[],“Other”
689,[],[],“Other”
690,[],[],Other
691,[],[],“Other”
692,[],[],“Other”
693,[],[],“Other”
694,[],[],“Other”
695,[],[],“Other”
696,[],[],“Other”
697,[],[],“Other”
698,[],[],“Other”
699,[],[],“Other”
700,[],['Unilateral termination'],“Unilateral termination
701,[],[],"“You are responsible for protecting your own data, and that any data you upload or share with us is your sole responsibility.”"
702,[],[],“Other”
703,[],[],“Other”
704,[],[],“Other”
705,[],['Limitation of liability'],“Limitation of liability”
706,[],['Limitation of liability'],“Limitation of liability”
707,[],[],“Other”
708,[],[],“Taxation”
709,[],[],“Other”
710,[],[],Other
711,[],[],Other
712,[],[],Other
713,[],[],Other
714,[],[],“Other”
715,[],[],Other
716,[],[],Other
717,[],['Unilateral change'],“Unilateral change”
718,[],[],“Other”
719,[],[],“Other”
720,[],[],“Other”
721,['Content removal'],['Unilateral change'],“Unilateral change”
722,[],[],“Other”
723,[],[],“Other”
724,[],[],“Other”
725,[],[],“Other”
726,[],[],"“The right to use the content for commercial purposes, the right to remove content, the right to access the content, and the right to withdraw content.”"
727,[],[],“Other”
728,[],['Unilateral change'],“Unilateral change”
729,[],[],“Other”
730,[],[],“Other”
731,[],[],“Other”
732,[],[],“Other”
733,[],['Unilateral change'],“Unilateral change”
734,[],[],“Other
735,[],[],“Other”
736,[],[],“Other”
737,[],[],“Other”
738,[],['Content removal'],“Content removal”
739,"['Unilateral change', 'Unilateral termination']",[],“Other”
740,[],[],“Other”
741,['Unilateral termination'],[],Other
742,[],[],“Other”
743,[],[],“Other”
744,[],[],“Other”
745,[],[],“Other”
746,[],[],“Other”
747,[],[],“Other”
748,[],['Content removal'],“Content removal
749,[],[],“Other”
750,['Limitation of liability'],[],“Other”
751,['Limitation of liability'],[],“Other”
752,[],[],“Other”
753,[],[],Other
754,[],[],“Other”
755,[],['Content removal'],“Content removal”
756,[],[],“Other”
757,['Limitation of liability'],[],“Other”
758,[],[],Other
759,['Unilateral change'],[],“Other”
760,['Unilateral change'],['Limitation of liability'],“Limitation of liability”
761,"['Unilateral change', 'Unilateral termination']",['Content removal'],“Content removal
762,[],[],“Other”
763,[],[],“Other”
764,[],[],“Other”
765,[],[],“Other”
766,[],[],“Other”
767,[],[],“Other”
768,['Limitation of liability'],[],“Other”
769,[],[],“Other”
770,[],['Limitation of liability'],“Limitation of liability”
771,['Limitation of liability'],[],“Other”
772,['Limitation of liability'],['Limitation of liability'],“Limitation of liability
773,[],[],“Other”
774,[],[],“Other”
775,['Unilateral termination'],[],Other
776,['Unilateral termination'],['Unilateral termination'],“Unilateral termination”
777,[],['Unilateral termination'],“Unilateral termination”
778,[],[],"“the terms of this agreement, the content of this site, and the services provided.”"
779,[],[],Other
780,[],[],“Other”
781,[],[],“Other”
782,[],['Limitation of liability'],“Limitation of Liability”
783,[],[],Other
784,"['Choice of law', 'Jurisdiction']",['Jurisdiction'],“Jurisdiction
785,['Choice of law'],['Choice of law'],“Choice of law
786,['Jurisdiction'],['Jurisdiction'],Jurisdiction
787,['Choice of law'],['Contract by using'],“Contract by using
788,['Jurisdiction'],['Jurisdiction'],“Jurisdiction
789,[],[],“Other”
790,[],[],“Other”
791,[],['Arbitration'],Arbitration
792,[],[],Other
793,[],[],“Other”
794,[],[],“Other”
795,[],[],“Other”
796,[],[],“Assignment”
797,[],[],Other
798,['Unilateral change'],['Unilateral change'],“Unilateral change”
799,[],['Unilateral termination'],“Unilateral termination”
800,[],[],“Other”
801,[],[],Other
802,[],[],"“use our services, and we will not be liable for any damages.”"
803,[],[],“Other”
804,[],[],Other
805,[],[],Other
806,[],[],Other
807,[],[],Other
808,[],[],“Other”
809,[],['Content removal'],“Content removal
810,[],[],“Other”
811,[],[],“Other”
812,[],[],“Other”
813,[],[],“Other”
814,[],[],“Other”
815,[],[],Other
816,[],[],Other
817,[],[],“Other”
818,[],[],“Other”
819,[],[],“Other”
820,[],[],“Other”
821,[],['Content removal'],“Content removal”
822,[],[],“Other”
823,[],[],“Data removal
824,[],[],“Other”
825,[],[],“Other”
826,[],[],“Other”
827,[],[],“Other”
828,[],['Unilateral change'],“Unilateral change”
829,[],[],Other
830,[],[],Other
831,[],['Content removal'],“Content removal”
832,[],[],“Other”
833,[],[],“Other”
834,[],[],“Other”
835,[],[],“Other”
836,[],[],“Other”
837,[],[],“Other”
838,[],['Content removal'],“Content removal”
839,[],[],Other
840,[],[],“Other”
841,[],[],“Other”
842,[],[],“Other”
843,[],[],“Other”
844,[],[],“Other”
845,[],[],“Other”
846,[],[],“Other”
847,[],[],“Other”
848,[],[],“Other”
849,[],[],Other
850,[],['Content removal'],“Content removal
851,[],[],“Other”
852,[],[],“email: youremail@example.com”
853,[],[],“Other”
854,[],[],“Other”
855,['Contract by using'],[],“Other”
856,['Unilateral change'],[],“Other”
857,[],[],“Other”
858,['Contract by using'],[],“Revision”
859,[],['Unilateral termination'],“Unilateral termination”
860,[],['Arbitration'],“Arbitration”
861,[],[],“Other”
862,[],[],“Other”
863,"['Unilateral change', 'Unilateral termination']",[],“Other”
864,[],[],“Other
865,[],[],“Other”
866,[],[],“Other”
867,[],['Unilateral termination'],“Unilateral termination”
868,[],[],“Other”
869,[],[],“Other”
870,[],[],“Other”
871,[],[],“Other”
872,[],[],“Other”
873,[],[],“Other”
874,[],[],“Other”
875,[],[],“Other”
876,[],[],“Other”
877,[],[],Other
878,[],[],Other
879,[],['Arbitration'],Arbitration
880,[],[],“Other”
881,[],['Arbitration'],Arbitration
882,[],[],“Other”
883,[],[],Other
884,[],[],“Other”
885,[],[],“Other”
886,[],[],“Other”
887,[],[],“Other”
888,[],[],“Other”
889,[],[],“Other”
890,[],[],“Other”
891,[],[],“Other”
892,[],['Arbitration'],Arbitration
893,[],[],“Other”
894,[],[],“Other”
895,[],[],“Other”
896,[],[],“Other”
897,[],[],“Other”
898,[],[],“Other”
899,[],[],“Other”
900,['Unilateral termination'],[],“Other”
901,['Unilateral change'],[],“Other”
902,['Limitation of liability'],['Arbitration'],Arbitration
903,[],[],“Other”
904,[],[],“Other”
905,[],[],“Other”
906,['Unilateral change'],[],“Other”
907,[],[],“Other”
908,[],[],“Other”
909,[],[],“Taxation”
910,[],[],“Other”
911,[],[],Other
912,['Limitation of liability'],[],Other
913,['Limitation of liability'],['Arbitration'],Arbitration
914,[],[],“Other”
915,[],[],“Other”
916,[],[],“Other”
917,[],['Arbitration'],Arbitration
918,[],[],“Other”
919,[],['Arbitration'],Arbitration
920,[],[],Other
921,[],[],“Other”
922,[],[],“Other”
923,[],[],“Other”
924,['Limitation of liability'],['Limitation of liability'],“Limitation of liability
925,[],[],“Other”
926,[],[],“Other”
927,[],[],“Other”
928,[],[],“Other”
929,[],[],“Other”
930,[],[],“Other”
931,[],[],“Other”
932,[],[],“Other”
933,[],[],“Other”
934,[],['Limitation of liability'],“Limitation of liability”
935,['Limitation of liability'],['Arbitration'],Arbitration
936,['Limitation of liability'],['Limitation of liability'],“Limitation of liability
937,[],[],Other
938,[],[],“Other”
939,['Unilateral termination'],['Arbitration'],Arbitration
940,['Unilateral termination'],[],“Termination”
941,[],[],“Other”
942,[],[],Other
943,[],[],“Copyright”
944,[],[],“Other”
945,[],[],“Other”
946,[],['Contract by using'],“Contract by using”
947,[],[],Other
948,[],[],“Other”
949,[],[],“Other”
950,[],[],“Other”
951,[],[],“Other”
952,[],['Contract by using'],“Contract by using”
953,['Contract by using'],['Contract by using'],“Contract by using
954,[],[],Other
955,[],[],"“the name of the copyrighted work, the following description of the work, and a link to the infringing material.”"
956,[],[],“Other”
957,[],[],“Copyright”
958,[],[],Other
959,[],[],Other
960,[],[],"“we will promptly delete the disputed use.”
"
961,[],[],“Other”
962,[],[],“Other”
963,[],[],“Support@duolingo.com”
964,[],[],Other
965,['Choice of law'],['Contract by using'],“Contract by using”
966,['Arbitration'],['Arbitration'],Arbitration
967,[],[],“Other”
968,[],[],“Other”
969,[],['Arbitration'],“Arbitration”
970,[],['Jurisdiction'],Jurisdiction
971,[],[],“Other”
972,[],['Arbitration'],Arbitration
973,[],['Arbitration'],Arbitration
974,[],[],“Other”
975,[],[],“Other”
976,[],['Arbitration'],“Arbitration”
977,[],[],“Other”
978,[],[],“Other”
979,[],[],“Other”
980,[],['Arbitration'],Arbitration
981,[],[],“Other”
982,[],['Arbitration'],“Arbitration
983,['Jurisdiction'],['Arbitration'],Arbitration
984,[],['Arbitration'],Arbitration
985,[],[],“Other”
986,[],[],“Translation”
987,[],[],“Other”
988,[],[],“Other”
